stage,remaining,lost,cumulative_survival_pct,marginal_loss_pct
Generated,8107,0,100.0,0.0
Session,2995,5112,36.94338226224251,63.05661773775749
TBM,92682,-89687,1143.2342420130751,-2994.557595993322
HMM,1963,90719,24.213642531145922,97.88200513584083
Probability,582,1381,7.178981127420747,70.35150280183393
RiskManager,582,0,7.178981127420747,0.0
Executed,968,-386,11.940298507462686,-66.32302405498281
