stage,remaining,lost,cumulative_survival_pct,marginal_loss_pct
Generated,26773,0,100.0,0.0
Session,9337,17436,34.87468718485041,65.1253128151496
TBM,277857,-268520,1037.8254211332312,-2875.870193852415
HMM,5468,272389,20.423561050311882,98.03208125042738
Probability,2418,3050,9.031486945803609,55.77907827359181
RiskManager,2418,0,9.031486945803609,0.0
Executed,3203,-785,11.963545362865574,-32.46484698097601
