from_stage,to_stage,stage_removed,lost_count
TREND_PULLBACK,LABEL_FILTER,LABEL_FILTER,17436
LABEL_FILTER,HMM,HMM,3869
HMM,PROBABILITY_FILTER,PROBABILITY_FILTER,3050
PROBABILITY_FILTER,EXECUTED,EXECUTED,727
