Candidate ID,Strategy,HMM State,Raw Probability,Threshold,Accepted
33a1f94f7724cc66,unknown,,,,False
2851940f1aa3dc0e,unknown,,,,False
789ba050bcd7e5e0,unknown,,,,False
2a14631e8dbfb8ec,unknown,,,,False
253e71f04de8eb10,unknown,,,,False
eb7ab1e299b2d466,unknown,,,,False
e1136269c62016e3,unknown,,,,False
afbe2e4cd9313c61,unknown,,,,False
e64610c2019369af,unknown,,,,False
8357e18cb348b058,unknown,,,,False
8baf9bdc4be6427f,unknown,,,,False
a512ec935d36b9d5,unknown,,,,False
e57b23b9e8602509,unknown,,,,False
aa020ca164d13b60,unknown,,,,False
e14794b76054bff1,unknown,,,,False
f90ad1e7b95acc87,unknown,,,,False
6eae3c7a979f6e4e,unknown,,,,False
1d33a314b4a40492,unknown,,,,False
11d7b165f137129e,unknown,,,,False
93397f8147f587da,unknown,,,,False
16bef54d0fe84e4c,unknown,,,,False
cc04a75aea218086,unknown,,,,False
c6945ae70bfa2a89,unknown,,,,False
d3c580e96560979b,unknown,,,,False
3d0c366a59a63941,unknown,,,,False
05d721e265244cf5,unknown,,,,False
8a5c08917c0f7aaf,unknown,,,,False
61f0287021df3d2f,unknown,,,,False
c15ececfe46a3d2b,unknown,,,,False
f3d301d79696cf6c,unknown,,,,False
5b1f515c1f8028ee,unknown,,,,False
96a6398819918e65,unknown,,,,False
c4ead5004becd402,unknown,,,,False
8ffe6c28aa5dc981,unknown,,,,False
61b40fad754c2ea2,unknown,,,,False
e17fc18ae7d9632d,unknown,,,,False
369918e54c3222b3,unknown,,,,False
426462d5c10f13c3,unknown,,,,False
c17f3ce0711a10c9,unknown,,,,False
daf1b81ffdb5cd89,unknown,,,,False
9526c957f81463f4,unknown,,,,False
708c563b74b83c7e,unknown,,,,False
0c8e6f5ffaf4832a,unknown,,,,False
57f4d670321804d2,unknown,,,,False
67951254b02f8524,unknown,,,,False
b7ace825f7bf36b4,unknown,,,,False
d1d1f556d5730da6,unknown,,,,False
7ba448a2951afee6,unknown,,,,False
f67ac105bd874c09,unknown,,,,False
7df0dbe8a61724e8,unknown,,,,False
1ef306e069e1750c,unknown,,,,False
2a274e399b963cb8,unknown,,,,False
55fab6942d34e661,unknown,,,,False
d7cadbf76f03bd46,unknown,,,,False
6781fac8d0d6cef5,unknown,,,,False
3186bfe925bc1d51,unknown,,,,False
50ba1c4eae0e5b77,unknown,,,,False
533b245b39fc73d5,unknown,,,,False
d7c30db1037fa907,unknown,,,,False
ae60f9a702f0fc00,unknown,,,,False
d20b30bad776c083,unknown,,,,False
74d218d815b165bd,unknown,,,,False
d3ba8e8b2b652ebe,unknown,,,,False
c31fa66c17655e45,unknown,,,,False
754ae352edb965cf,unknown,,,,False
970d0b9af698dfdd,unknown,,,,False
